使用命令行指定的mode: random_all
=== Training Mode: random_all ===
Parameters: M=3, N=8, F=10, K=3, C_cache=10, C_rec=5, lr=0.001
Episode 1/1500: avg_reward=-43094922.292, avg_energy=43094922.292, avg_D=0.056, hit_rate=0.333, energy_eff=0.866, epsilon=0.99
Episode 10/1500: avg_reward=-43804007.744, avg_energy=43804007.744, avg_D=0.056, hit_rate=0.330, energy_eff=0.865, epsilon=0.90
Episode 20/1500: avg_reward=-41479119.936, avg_energy=41479119.936, avg_D=0.055, hit_rate=0.332, energy_eff=0.892, epsilon=0.82
Episode 30/1500: avg_reward=-43590878.783, avg_energy=43590878.783, avg_D=0.053, hit_rate=0.329, energy_eff=0.853, epsilon=0.74
Episode 40/1500: avg_reward=-43043494.708, avg_energy=43043494.708, avg_D=0.057, hit_rate=0.322, energy_eff=0.878, epsilon=0.67
Episode 50/1500: avg_reward=-43369429.203, avg_energy=43369429.203, avg_D=0.055, hit_rate=0.326, energy_eff=0.876, epsilon=0.61
Episode 60/1500: avg_reward=-43649336.460, avg_energy=43649336.460, avg_D=0.055, hit_rate=0.332, energy_eff=0.863, epsilon=0.55
Episode 70/1500: avg_reward=-43595792.673, avg_energy=43595792.673, avg_D=0.058, hit_rate=0.351, energy_eff=0.857, epsilon=0.49
Episode 80/1500: avg_reward=-41748381.716, avg_energy=41748381.716, avg_D=0.056, hit_rate=0.345, energy_eff=0.907, epsilon=0.45
Episode 90/1500: avg_reward=-44853411.890, avg_energy=44853411.890, avg_D=0.057, hit_rate=0.332, energy_eff=0.835, epsilon=0.40
Episode 100/1500: avg_reward=-44408601.783, avg_energy=44408601.783, avg_D=0.056, hit_rate=0.319, energy_eff=0.838, epsilon=0.37
Episode 110/1500: avg_reward=-44466417.677, avg_energy=44466417.677, avg_D=0.057, hit_rate=0.334, energy_eff=0.842, epsilon=0.33
Episode 120/1500: avg_reward=-45955769.261, avg_energy=45955769.261, avg_D=0.055, hit_rate=0.343, energy_eff=0.815, epsilon=0.30
Episode 130/1500: avg_reward=-45031296.108, avg_energy=45031296.108, avg_D=0.056, hit_rate=0.342, energy_eff=0.834, epsilon=0.27
Episode 140/1500: avg_reward=-44225118.927, avg_energy=44225118.927, avg_D=0.057, hit_rate=0.352, energy_eff=0.854, epsilon=0.24
Episode 150/1500: avg_reward=-42521513.271, avg_energy=42521513.271, avg_D=0.058, hit_rate=0.332, energy_eff=0.878, epsilon=0.22
Episode 160/1500: avg_reward=-43078813.236, avg_energy=43078813.236, avg_D=0.056, hit_rate=0.336, energy_eff=0.876, epsilon=0.20
Episode 170/1500: avg_reward=-43921213.203, avg_energy=43921213.203, avg_D=0.056, hit_rate=0.340, energy_eff=0.846, epsilon=0.18
Episode 180/1500: avg_reward=-44105394.969, avg_energy=44105394.969, avg_D=0.056, hit_rate=0.337, energy_eff=0.855, epsilon=0.16
Episode 190/1500: avg_reward=-44384389.870, avg_energy=44384389.870, avg_D=0.056, hit_rate=0.335, energy_eff=0.835, epsilon=0.15
Episode 200/1500: avg_reward=-44858579.661, avg_energy=44858579.661, avg_D=0.056, hit_rate=0.325, energy_eff=0.834, epsilon=0.13
Episode 210/1500: avg_reward=-45208577.643, avg_energy=45208577.643, avg_D=0.057, hit_rate=0.341, energy_eff=0.839, epsilon=0.12
Episode 220/1500: avg_reward=-42674834.627, avg_energy=42674834.627, avg_D=0.057, hit_rate=0.332, energy_eff=0.876, epsilon=0.11
Episode 230/1500: avg_reward=-43934717.044, avg_energy=43934717.044, avg_D=0.056, hit_rate=0.340, energy_eff=0.855, epsilon=0.10
Episode 240/1500: avg_reward=-44093760.786, avg_energy=44093760.786, avg_D=0.057, hit_rate=0.329, energy_eff=0.851, epsilon=0.10
Episode 250/1500: avg_reward=-45195166.264, avg_energy=45195166.264, avg_D=0.056, hit_rate=0.331, energy_eff=0.833, epsilon=0.10
Episode 260/1500: avg_reward=-45429856.636, avg_energy=45429856.636, avg_D=0.056, hit_rate=0.315, energy_eff=0.828, epsilon=0.10
Episode 270/1500: avg_reward=-43719469.367, avg_energy=43719469.367, avg_D=0.056, hit_rate=0.350, energy_eff=0.853, epsilon=0.10
Episode 280/1500: avg_reward=-44640218.500, avg_energy=44640218.500, avg_D=0.056, hit_rate=0.325, energy_eff=0.834, epsilon=0.10
Episode 290/1500: avg_reward=-45438608.688, avg_energy=45438608.688, avg_D=0.056, hit_rate=0.342, energy_eff=0.829, epsilon=0.10
Episode 300/1500: avg_reward=-45616814.286, avg_energy=45616814.286, avg_D=0.055, hit_rate=0.334, energy_eff=0.819, epsilon=0.10
Episode 310/1500: avg_reward=-43245553.995, avg_energy=43245553.995, avg_D=0.057, hit_rate=0.338, energy_eff=0.864, epsilon=0.10
Episode 320/1500: avg_reward=-43795211.069, avg_energy=43795211.069, avg_D=0.058, hit_rate=0.340, energy_eff=0.871, epsilon=0.10
Episode 330/1500: avg_reward=-43558621.487, avg_energy=43558621.487, avg_D=0.058, hit_rate=0.334, energy_eff=0.865, epsilon=0.10
Episode 340/1500: avg_reward=-42079455.298, avg_energy=42079455.298, avg_D=0.057, hit_rate=0.337, energy_eff=0.893, epsilon=0.10
Episode 350/1500: avg_reward=-41864371.227, avg_energy=41864371.227, avg_D=0.057, hit_rate=0.332, energy_eff=0.881, epsilon=0.10
Episode 360/1500: avg_reward=-44221320.452, avg_energy=44221320.452, avg_D=0.054, hit_rate=0.328, energy_eff=0.853, epsilon=0.10
Episode 370/1500: avg_reward=-40902567.842, avg_energy=40902567.842, avg_D=0.056, hit_rate=0.339, energy_eff=0.923, epsilon=0.10
Episode 380/1500: avg_reward=-43622510.858, avg_energy=43622510.858, avg_D=0.056, hit_rate=0.331, energy_eff=0.866, epsilon=0.10
Episode 390/1500: avg_reward=-43439923.632, avg_energy=43439923.632, avg_D=0.056, hit_rate=0.336, energy_eff=0.855, epsilon=0.10
Episode 400/1500: avg_reward=-44258841.081, avg_energy=44258841.081, avg_D=0.057, hit_rate=0.326, energy_eff=0.853, epsilon=0.10
Episode 410/1500: avg_reward=-42552085.344, avg_energy=42552085.344, avg_D=0.055, hit_rate=0.336, energy_eff=0.884, epsilon=0.10
Episode 420/1500: avg_reward=-42887238.954, avg_energy=42887238.954, avg_D=0.055, hit_rate=0.323, energy_eff=0.878, epsilon=0.10
Episode 430/1500: avg_reward=-45569951.525, avg_energy=45569951.525, avg_D=0.057, hit_rate=0.328, energy_eff=0.845, epsilon=0.10
Episode 440/1500: avg_reward=-43899319.942, avg_energy=43899319.942, avg_D=0.058, hit_rate=0.337, energy_eff=0.864, epsilon=0.10
Episode 450/1500: avg_reward=-44252203.942, avg_energy=44252203.942, avg_D=0.058, hit_rate=0.345, energy_eff=0.861, epsilon=0.10
Episode 460/1500: avg_reward=-41745728.275, avg_energy=41745728.275, avg_D=0.055, hit_rate=0.329, energy_eff=0.892, epsilon=0.10
Episode 470/1500: avg_reward=-44138477.767, avg_energy=44138477.767, avg_D=0.056, hit_rate=0.340, energy_eff=0.851, epsilon=0.10
Episode 480/1500: avg_reward=-44503864.636, avg_energy=44503864.636, avg_D=0.057, hit_rate=0.333, energy_eff=0.856, epsilon=0.10
Episode 490/1500: avg_reward=-42691681.556, avg_energy=42691681.556, avg_D=0.057, hit_rate=0.332, energy_eff=0.884, epsilon=0.10
Episode 500/1500: avg_reward=-43815451.952, avg_energy=43815451.952, avg_D=0.056, hit_rate=0.329, energy_eff=0.860, epsilon=0.10
Episode 510/1500: avg_reward=-42722937.705, avg_energy=42722937.705, avg_D=0.056, hit_rate=0.318, energy_eff=0.873, epsilon=0.10
Episode 520/1500: avg_reward=-44646308.197, avg_energy=44646308.197, avg_D=0.057, hit_rate=0.334, energy_eff=0.844, epsilon=0.10
Episode 530/1500: avg_reward=-43723183.155, avg_energy=43723183.155, avg_D=0.055, hit_rate=0.315, energy_eff=0.848, epsilon=0.10
Episode 540/1500: avg_reward=-43272477.687, avg_energy=43272477.687, avg_D=0.056, hit_rate=0.341, energy_eff=0.868, epsilon=0.10
Episode 550/1500: avg_reward=-44218513.011, avg_energy=44218513.011, avg_D=0.057, hit_rate=0.351, energy_eff=0.859, epsilon=0.10
Episode 560/1500: avg_reward=-41430469.217, avg_energy=41430469.217, avg_D=0.056, hit_rate=0.323, energy_eff=0.898, epsilon=0.10
Episode 570/1500: avg_reward=-41568814.269, avg_energy=41568814.269, avg_D=0.056, hit_rate=0.342, energy_eff=0.899, epsilon=0.10
Episode 580/1500: avg_reward=-43081803.128, avg_energy=43081803.128, avg_D=0.057, hit_rate=0.328, energy_eff=0.878, epsilon=0.10
Episode 590/1500: avg_reward=-43327913.096, avg_energy=43327913.096, avg_D=0.057, hit_rate=0.315, energy_eff=0.891, epsilon=0.10
Episode 600/1500: avg_reward=-44970392.252, avg_energy=44970392.252, avg_D=0.057, hit_rate=0.332, energy_eff=0.840, epsilon=0.10
Episode 610/1500: avg_reward=-42793295.146, avg_energy=42793295.146, avg_D=0.056, hit_rate=0.327, energy_eff=0.873, epsilon=0.10
Episode 620/1500: avg_reward=-44730088.495, avg_energy=44730088.495, avg_D=0.056, hit_rate=0.326, energy_eff=0.832, epsilon=0.10
Episode 630/1500: avg_reward=-44497789.019, avg_energy=44497789.019, avg_D=0.055, hit_rate=0.328, energy_eff=0.855, epsilon=0.10
Episode 640/1500: avg_reward=-43530039.024, avg_energy=43530039.024, avg_D=0.056, hit_rate=0.309, energy_eff=0.871, epsilon=0.10
Episode 650/1500: avg_reward=-46147654.205, avg_energy=46147654.205, avg_D=0.057, hit_rate=0.324, energy_eff=0.823, epsilon=0.10
Episode 660/1500: avg_reward=-44504717.483, avg_energy=44504717.483, avg_D=0.055, hit_rate=0.319, energy_eff=0.843, epsilon=0.10
Episode 670/1500: avg_reward=-45713568.170, avg_energy=45713568.170, avg_D=0.055, hit_rate=0.326, energy_eff=0.824, epsilon=0.10
Episode 680/1500: avg_reward=-42721502.316, avg_energy=42721502.316, avg_D=0.055, hit_rate=0.331, energy_eff=0.878, epsilon=0.10
Episode 690/1500: avg_reward=-43218068.556, avg_energy=43218068.556, avg_D=0.056, hit_rate=0.351, energy_eff=0.873, epsilon=0.10
Episode 700/1500: avg_reward=-43134410.850, avg_energy=43134410.850, avg_D=0.055, hit_rate=0.316, energy_eff=0.881, epsilon=0.10
Episode 710/1500: avg_reward=-43738550.228, avg_energy=43738550.228, avg_D=0.055, hit_rate=0.323, energy_eff=0.861, epsilon=0.10
Episode 720/1500: avg_reward=-45626157.062, avg_energy=45626157.062, avg_D=0.057, hit_rate=0.323, energy_eff=0.826, epsilon=0.10
Episode 730/1500: avg_reward=-43659760.841, avg_energy=43659760.841, avg_D=0.056, hit_rate=0.339, energy_eff=0.867, epsilon=0.10
Episode 740/1500: avg_reward=-44787839.081, avg_energy=44787839.081, avg_D=0.056, hit_rate=0.319, energy_eff=0.832, epsilon=0.10
Episode 750/1500: avg_reward=-43059884.881, avg_energy=43059884.881, avg_D=0.055, hit_rate=0.348, energy_eff=0.885, epsilon=0.10
Episode 760/1500: avg_reward=-43698937.146, avg_energy=43698937.146, avg_D=0.058, hit_rate=0.347, energy_eff=0.856, epsilon=0.10
Episode 770/1500: avg_reward=-42076316.770, avg_energy=42076316.770, avg_D=0.057, hit_rate=0.334, energy_eff=0.904, epsilon=0.10
Episode 780/1500: avg_reward=-42773748.218, avg_energy=42773748.218, avg_D=0.056, hit_rate=0.326, energy_eff=0.876, epsilon=0.10
Episode 790/1500: avg_reward=-43278647.884, avg_energy=43278647.884, avg_D=0.055, hit_rate=0.333, energy_eff=0.866, epsilon=0.10
Episode 800/1500: avg_reward=-42966594.473, avg_energy=42966594.473, avg_D=0.057, hit_rate=0.335, energy_eff=0.872, epsilon=0.10
Episode 810/1500: avg_reward=-42155644.399, avg_energy=42155644.399, avg_D=0.056, hit_rate=0.341, energy_eff=0.886, epsilon=0.10
Episode 820/1500: avg_reward=-45597041.124, avg_energy=45597041.124, avg_D=0.055, hit_rate=0.331, energy_eff=0.829, epsilon=0.10
Episode 830/1500: avg_reward=-44088877.567, avg_energy=44088877.567, avg_D=0.057, hit_rate=0.322, energy_eff=0.864, epsilon=0.10
Episode 840/1500: avg_reward=-44286197.166, avg_energy=44286197.166, avg_D=0.056, hit_rate=0.350, energy_eff=0.856, epsilon=0.10
Episode 850/1500: avg_reward=-44498212.530, avg_energy=44498212.530, avg_D=0.057, hit_rate=0.336, energy_eff=0.859, epsilon=0.10
Episode 860/1500: avg_reward=-45548809.401, avg_energy=45548809.401, avg_D=0.056, hit_rate=0.333, energy_eff=0.835, epsilon=0.10
Episode 870/1500: avg_reward=-43809617.057, avg_energy=43809617.057, avg_D=0.056, hit_rate=0.326, energy_eff=0.855, epsilon=0.10
Episode 880/1500: avg_reward=-44358482.637, avg_energy=44358482.637, avg_D=0.057, hit_rate=0.341, energy_eff=0.849, epsilon=0.10
Episode 890/1500: avg_reward=-45006285.622, avg_energy=45006285.622, avg_D=0.056, hit_rate=0.333, energy_eff=0.842, epsilon=0.10
Episode 900/1500: avg_reward=-43762076.340, avg_energy=43762076.340, avg_D=0.056, hit_rate=0.332, energy_eff=0.856, epsilon=0.10
Episode 910/1500: avg_reward=-43263251.731, avg_energy=43263251.731, avg_D=0.058, hit_rate=0.339, energy_eff=0.871, epsilon=0.10
Episode 920/1500: avg_reward=-43493181.470, avg_energy=43493181.470, avg_D=0.055, hit_rate=0.352, energy_eff=0.857, epsilon=0.10
Episode 930/1500: avg_reward=-43695777.186, avg_energy=43695777.186, avg_D=0.057, hit_rate=0.337, energy_eff=0.860, epsilon=0.10
Episode 940/1500: avg_reward=-42866883.920, avg_energy=42866883.920, avg_D=0.056, hit_rate=0.334, energy_eff=0.865, epsilon=0.10
Episode 950/1500: avg_reward=-44092091.182, avg_energy=44092091.182, avg_D=0.055, hit_rate=0.331, energy_eff=0.860, epsilon=0.10
