使用命令行指定的mode: full
=== Training Mode: full ===
Parameters: M=3, N=8, F=10, K=3, C_cache=8, C_rec=5, lr=0.001
Episode 1/1500: avg_reward=-40998455.998, avg_energy=40998455.998, avg_D=0.057, hit_rate=0.258, energy_eff=0.918, epsilon=0.99
Episode 10/1500: avg_reward=-42627649.621, avg_energy=42627649.621, avg_D=0.056, hit_rate=0.260, energy_eff=0.886, epsilon=0.90
Episode 20/1500: avg_reward=-39991699.316, avg_energy=39991699.316, avg_D=0.056, hit_rate=0.259, energy_eff=0.935, epsilon=0.82
Episode 30/1500: avg_reward=-38955360.445, avg_energy=38955360.445, avg_D=0.057, hit_rate=0.259, energy_eff=1.001, epsilon=0.74
Episode 40/1500: avg_reward=-38619671.566, avg_energy=38619671.566, avg_D=0.058, hit_rate=0.289, energy_eff=0.980, epsilon=0.67
Episode 50/1500: avg_reward=-41102539.386, avg_energy=41102539.386, avg_D=0.055, hit_rate=0.262, energy_eff=0.917, epsilon=0.61
Episode 60/1500: avg_reward=-35022770.891, avg_energy=35022770.891, avg_D=0.046, hit_rate=0.353, energy_eff=1.039, epsilon=0.55
Episode 70/1500: avg_reward=-36261321.159, avg_energy=36261321.159, avg_D=0.056, hit_rate=0.293, energy_eff=1.064, epsilon=0.49
Episode 80/1500: avg_reward=-39586180.690, avg_energy=39586180.690, avg_D=0.055, hit_rate=0.256, energy_eff=0.929, epsilon=0.45
Episode 90/1500: avg_reward=-37398205.732, avg_energy=37398205.732, avg_D=0.057, hit_rate=0.325, energy_eff=0.940, epsilon=0.40
Episode 100/1500: avg_reward=-34180605.854, avg_energy=34180605.854, avg_D=0.056, hit_rate=0.316, energy_eff=1.053, epsilon=0.37
Episode 110/1500: avg_reward=-33981581.244, avg_energy=33981581.244, avg_D=0.056, hit_rate=0.276, energy_eff=1.122, epsilon=0.33
Episode 120/1500: avg_reward=-36831895.017, avg_energy=36831895.017, avg_D=0.055, hit_rate=0.335, energy_eff=0.999, epsilon=0.30
Episode 130/1500: avg_reward=-34398556.393, avg_energy=34398556.393, avg_D=0.054, hit_rate=0.373, energy_eff=1.039, epsilon=0.27
